Dataset,Model,Loss,Accuracy,Precision,Recall,F1-Score,ROC_AUC,PR_AUC,,
credit_card_fraud,xgboost_gblinear,CE,0.999169037,0.859813084,0.621621622,0.721568627,0.956389549,0.71130676,,
credit_card_fraud,xgboost_gblinear,WCE,0.999309481,0.815602837,0.777027027,0.795847751,0.973329367,0.697818811,,
credit_card_fraud,xgboost_gblinear,WCE(sq),0.999321185,0.826086957,0.77027027,0.797202797,0.967638783,0.699769569,,
credit_card_fraud,xgboost_gblinear,PS-WCE,0.999332889,0.837037037,0.763513514,0.798586572,0.96957887,0.701054542,,
credit_card_fraud,xgboost_gblinear,CB,0.999356296,0.860465116,0.75,0.801444043,0.970208957,0.703816709,,
credit_card_fraud,xgboost_gblinear,Focal,0.99918074,0.778571429,0.736486486,0.756944444,0.963954669,0.71479722,,
credit_card_fraud,xgboost_gblinear,LWCE,0.999169037,0.789473684,0.709459459,0.747330961,0.960025341,0.716479934,,
credit_card_fraud,xgboost_gblinear,PLWCE,0.999356296,0.844444444,0.77027027,0.80565371,0.969398217,0.700994194,,
aps_failure,xgboost_gblinear,CE,0.989625,0.833865815,0.696,0.75872093,0.974102869,0.811970524,,F
aps_failure,xgboost_gblinear,WCE,0.9761875,0.495762712,0.936,0.648199446,0.988392533,0.813315196,,
aps_failure,xgboost_gblinear,WCE(sq),0.987625,0.694505495,0.842666667,0.761445783,0.983773269,0.824697396,,
aps_failure,xgboost_gblinear,PS-WCE,0.9893125,0.762886598,0.789333333,0.775884666,0.982310912,0.824600327,,
aps_failure,xgboost_gblinear,CB,0.989625,0.842622951,0.685333333,0.755882353,0.979263488,0.826889311,,
aps_failure,xgboost_gblinear,Focal,0.9894375,0.77688172,0.770666667,0.773761714,0.980581376,0.826385609,,
aps_failure,xgboost_gblinear,LWCE,0.989625,0.81570997,0.72,0.764872521,0.980786347,0.823717086,,
aps_failure,xgboost_gblinear,PLWCE,0.989625,0.792717087,0.754666667,0.773224044,0.979726592,0.827823715,,
bank_marketing,xgboost_gblinear,CE,0.902314951,0.654117647,0.350346566,0.456298728,0.904987605,0.548142496,,
bank_marketing,xgboost_gblinear,WCE,0.873562371,0.472508591,0.693131695,0.561941252,0.897561799,0.539149811,,
bank_marketing,xgboost_gblinear,WCE(sq),0.895753465,0.550028918,0.599243856,0.57358263,0.906872493,0.545338627,,
bank_marketing,xgboost_gblinear,PS-WCE,0.892657033,0.535929786,0.615626969,0.573020528,0.90730135,0.545005464,,
bank_marketing,xgboost_gblinear,CB,0.892657033,0.555367709,0.413988658,0.474368231,0.871773109,0.502620445,,
bank_marketing,xgboost_gblinear,Focal,0.896564435,0.555555556,0.579710145,0.567375887,0.906907269,0.545526788,,
bank_marketing,xgboost_gblinear,LWCE,0.90342082,0.642051282,0.394454946,0.488680718,0.905420145,0.547621056,,
bank_marketing,xgboost_gblinear,PLWCE,0.899808316,0.576612903,0.540642722,0.55804878,0.906523262,0.546208635,,
telco_churn,xgboost_gblinear,CE,0.794604827,0.625742574,0.563279857,0.592870544,0.836031824,0.62803816,,
telco_churn,xgboost_gblinear,WCE,0.743965925,0.511441648,0.796791444,0.622996516,0.844494253,0.642573433,,
telco_churn,xgboost_gblinear,WCE(sq),0.791765263,0.5968,0.664884135,0.629005059,0.834137884,0.628854721,,
telco_churn,xgboost_gblinear,PS-WCE,0.787979177,0.589540412,0.663101604,0.624161074,0.838413892,0.640724429,,
telco_churn,xgboost_gblinear,CB,0.791765263,0.59618442,0.668449198,0.630252101,0.834820116,0.626417432,,
