Dataset,Model,Loss,F1-Score,ROC_AUC,PR_AUC,Accuracy,Precision,Recall
aps_failure,xgboost_gblinear,power_scaled_adaptive_ce,0.7800269905533064,0.9797154986666667,0.8287268173075983,0.9898125,0.7896174863387978,0.7706666666666667
aps_failure,xgboost_gblinear,class_balanced_ce,0.7677053824362606,0.9798469973333334,0.8238597577219344,0.98975,0.8187311178247734,0.7226666666666667
aps_failure,xgboost_gblinear,adaptive_ce,0.7620396600566572,0.979411456,0.8232507373083623,0.9895,0.8126888217522659,0.7173333333333334
aps_failure,xgboost_gblinear,weighted_ce_inv_sqrt,0.7614457831325301,0.9838203733333333,0.8247661112959379,0.987625,0.6945054945054945,0.8426666666666667
aps_failure,xgboost_gblinear,standard_ce,0.760522496371553,0.9757614080000001,0.814416230593263,0.9896875,0.8343949044585988,0.6986666666666667
aps_failure,xgboost_gblinear,power_scaled_inv_ce,0.7454323995127893,0.9923502933333334,0.8093192839543769,0.9869375,0.6860986547085202,0.816
aps_failure,xgboost_gblinear,weighted_ce_inv,0.6464646464646465,0.9881349973333332,0.8112510810659004,0.9759375,0.49299719887955185,0.9386666666666666
aps_failure,xgboost_gblinear,focal_loss,0.19294117647058823,0.5543786666666666,0.11052833333333334,0.9785625,0.82,0.10933333333333334
aps_failure,xgboost_gblinear,cb_focal_loss,0.12027158098933075,0.9820245333333334,0.5954323575596273,0.659875,0.06401652039235932,0.992
bank_marketing,xgboost_gblinear,power_scaled_inv_ce,0.5733568075117371,0.9072109118616815,0.5449874258835554,0.8928044824535535,0.5365183964854475,0.6156269691241336
bank_marketing,xgboost_gblinear,weighted_ce_inv_sqrt,0.5731670216002434,0.907445319344749,0.5457362782709986,0.8965644352698319,0.5541176470588235,0.5935727788279773
bank_marketing,xgboost_gblinear,weighted_ce_inv,0.5554783414408154,0.903068283733699,0.5414910055852644,0.8585225597168976,0.4391941391941392,0.7555135475740391
bank_marketing,xgboost_gblinear,power_scaled_adaptive_ce,0.5320127343473647,0.9060791217192751,0.5469722254208698,0.9024624004718372,0.6064516129032258,0.47385003150598615
bank_marketing,xgboost_gblinear,adaptive_ce,0.4886807181889149,0.9054194873297112,0.5476210825372063,0.903420819817163,0.642051282051282,0.39445494643982354
bank_marketing,xgboost_gblinear,class_balanced_ce,0.47176820208023773,0.8790924308347985,0.5132602522096947,0.8951636685343557,0.5746606334841629,0.4001260239445495
bank_marketing,xgboost_gblinear,standard_ce,0.4562987279441937,0.9052418469152621,0.548214664731635,0.9023149513417871,0.6541176470588236,0.350346565847511
bank_marketing,xgboost_gblinear,focal_loss,0.26385362864396394,0.8021060792900739,0.4073195311182535,0.38005013270421706,0.15321268808458724,0.9495904221802143
bank_marketing,xgboost_gblinear,cb_focal_loss,0.260375408989151,0.8051600318379604,0.41599897866124735,0.36670598643468005,0.15079285927994415,0.9527410207939508
credit_card_default,xgboost_gblinear,weighted_ce_inv,0.510439695406534,0.7041259429739434,0.49367391132561117,0.7785555555555556,0.49951923076923077,0.521848317428428
credit_card_default,xgboost_gblinear,power_scaled_inv_ce,0.4984388305421516,0.7132581349988488,0.4912045074844293,0.8036666666666666,0.5731070496083551,0.44098442993470616
credit_card_default,xgboost_gblinear,weighted_ce_inv_sqrt,0.4971526195899772,0.7012594985323812,0.4815258608465478,0.8037777777777778,0.5739644970414202,0.4384731290808639
credit_card_default,xgboost_gblinear,class_balanced_ce,0.4877492877492878,0.6831856207836104,0.4720932753788414,0.8002222222222222,0.5635286372613562,0.4299347061778001
credit_card_default,xgboost_gblinear,adaptive_ce,0.487292817679558,0.6888730059988166,0.4703292912085647,0.7937777777777778,0.5414364640883977,0.44299347061778
credit_card_default,xgboost_gblinear,power_scaled_adaptive_ce,0.4866401364411598,0.6932158115715326,0.4743008702670253,0.7993333333333333,0.5605762933857237,0.4299347061778001
credit_card_default,xgboost_gblinear,cb_focal_loss,0.3843263553408481,0.6949072939799937,0.464948621349671,0.36277777777777775,0.244401966138722,0.8990457056755399
credit_card_default,xgboost_gblinear,focal_loss,0.3836289805513999,0.6952752645859142,0.4650876692054823,0.3591111111111111,0.24365413329713587,0.9015570065293822
credit_card_default,xgboost_gblinear,standard_ce,0.3567688855646971,0.7161202798812376,0.4981833758727567,0.8088888888888889,0.698389458272328,0.2395781014565545
credit_card_fraud,xgboost_gblinear,weighted_ce_inv_sqrt,0.8056537102473498,0.9691300700430778,0.6999335096347279,0.9993562960102056,0.8444444444444444,0.7702702702702703
credit_card_fraud,xgboost_gblinear,weighted_ce_inv,0.7958477508650519,0.9733277433010712,0.69812383870958,0.9993094811745842,0.8156028368794326,0.777027027027027
credit_card_fraud,xgboost_gblinear,power_scaled_adaptive_ce,0.7943262411347518,0.9702799742705365,0.6988601110206637,0.9993211848834895,0.835820895522388,0.7567567567567568
credit_card_fraud,xgboost_gblinear,power_scaled_inv_ce,0.7903780068728522,0.9696195477381362,0.6977557274179395,0.9992860737567735,0.8041958041958042,0.777027027027027
credit_card_fraud,xgboost_gblinear,class_balanced_ce,0.7578947368421053,0.9702910645565549,0.7101630773863437,0.9991924440855307,0.7883211678832117,0.7297297297297297
credit_card_fraud,xgboost_gblinear,adaptive_ce,0.7473309608540926,0.9596036331776996,0.7163320484089359,0.99916903666772,0.7894736842105263,0.7094594594594594
credit_card_fraud,xgboost_gblinear,standard_ce,0.7215686274509804,0.955727340565256,0.7102305005563535,0.99916903666772,0.8598130841121495,0.6216216216216216
credit_card_fraud,xgboost_gblinear,focal_loss,0.00373054382758838,0.9390972190315646,0.6543049055711125,0.07483351474082137,0.0018687576549616777,1.0
credit_card_fraud,xgboost_gblinear,cb_focal_loss,0.003726317114622018,0.9284131543466791,0.6520279954510033,0.07378018093933968,0.0018666363968872577,1.0
german_credit,xgboost_gblinear,weighted_ce_inv,0.6301369863013698,0.7965608465608466,0.6314679735298186,0.73,0.5348837209302325,0.7666666666666667
german_credit,xgboost_gblinear,power_scaled_adaptive_ce,0.6187845303867403,0.7979365079365079,0.6438394856607162,0.77,0.6153846153846154,0.6222222222222222
german_credit,xgboost_gblinear,power_scaled_inv_ce,0.6178010471204188,0.7986243386243386,0.6427314813686968,0.7566666666666667,0.5841584158415841,0.6555555555555556
german_credit,xgboost_gblinear,class_balanced_ce,0.6146341463414634,0.7974074074074073,0.6412119720285963,0.7366666666666667,0.5478260869565217,0.7
german_credit,xgboost_gblinear,weighted_ce_inv_sqrt,0.6145833333333334,0.7979365079365079,0.6441777315139909,0.7533333333333333,0.5784313725490197,0.6555555555555556
german_credit,xgboost_gblinear,adaptive_ce,0.5909090909090909,0.7923280423280423,0.640158901506523,0.76,0.6046511627906976,0.5777777777777777
german_credit,xgboost_gblinear,standard_ce,0.5853658536585366,0.7972486772486773,0.6397094891845864,0.7733333333333333,0.6486486486486487,0.5333333333333333
german_credit,xgboost_gblinear,cb_focal_loss,0.5201238390092879,0.7832275132275134,0.6225858532448204,0.48333333333333334,0.3605150214592275,0.9333333333333333
german_credit,xgboost_gblinear,focal_loss,0.513595166163142,0.7861375661375661,0.6258474873214078,0.4633333333333333,0.35269709543568467,0.9444444444444444
page_blocks,xgboost_gblinear,standard_ce,0.8291891333995091,0.9812366402358303,0.8853538210529521,0.9658952496954933,0.8792266999030606,0.7884523022582725
page_blocks,xgboost_gblinear,class_balanced_ce,0.8275921097825251,0.9804240121139374,0.8899725333000028,0.9634591961023142,0.8241711095574107,0.833465721674677
page_blocks,xgboost_gblinear,power_scaled_adaptive_ce,0.8205022392301036,0.9828499953153752,0.8929016645940553,0.9585870889159561,0.7947027264501764,0.8511504581653835
page_blocks,xgboost_gblinear,adaptive_ce,0.8113125086315552,0.9815696760185375,0.8895145865887825,0.96163215590743,0.8316036556036556,0.7930811062900616
page_blocks,xgboost_gblinear,focal_loss,0.7893382678446896,0.9758719265509839,0.876558650952869,0.9464068209500609,0.7262535118903221,0.8868582826791782
page_blocks,xgboost_gblinear,weighted_ce_inv,0.18921694480102697,0.5,0.2,0.8976857490864799,0.179537149817296,0.2
page_blocks,xgboost_gblinear,power_scaled_inv_ce,0.18921694480102697,0.5,0.2,0.8976857490864799,0.179537149817296,0.2
page_blocks,xgboost_gblinear,weighted_ce_inv_sqrt,0.08202674759165815,0.5270876990405747,0.226121954170514,0.021315468940316686,0.2704656862745098,0.25416305916305915
page_blocks,xgboost_gblinear,cb_focal_loss,0.0019393939393939393,0.5,0.2,0.0048721071863581,0.0009744214372716199,0.2
secom,xgboost_gblinear,weighted_ce_inv,0.27586206896551724,0.7437683284457478,0.16756038363750825,0.821656050955414,0.18823529411764706,0.5161290322580645
secom,xgboost_gblinear,power_scaled_inv_ce,0.2222222222222222,0.7564516129032257,0.17717665892718407,0.881104033970276,0.1951219512195122,0.25806451612903225
secom,xgboost_gblinear,standard_ce,0.18867924528301888,0.7091642228739004,0.14457036756138902,0.9087048832271762,0.22727272727272727,0.16129032258064516
secom,xgboost_gblinear,cb_focal_loss,0.17419354838709677,0.7067448680351907,0.14871971892189817,0.4564755838641189,0.0967741935483871,0.8709677419354839
secom,xgboost_gblinear,power_scaled_adaptive_ce,0.16326530612244897,0.6941348973607038,0.1369907839665721,0.9129511677282378,0.2222222222222222,0.12903225806451613
secom,xgboost_gblinear,focal_loss,0.1580547112462006,0.6905425219941349,0.14891457120336848,0.4118895966029724,0.087248322147651,0.8387096774193549
secom,xgboost_gblinear,class_balanced_ce,0.1568627450980392,0.7174486803519061,0.1687079649514641,0.9087048832271762,0.2,0.12903225806451613
secom,xgboost_gblinear,weighted_ce_inv_sqrt,0.14035087719298245,0.6887096774193547,0.13652957466634158,0.8959660297239915,0.15384615384615385,0.12903225806451613
