Dataset,Model,Loss,F1-Score,ROC_AUC,PR_AUC,Accuracy,Precision,Recall
aps_failure,xgboost_gblinear,power_scaled_adaptive_ce,0.78308322,0.979429888,0.826499898,0.9900625,0.801675978,0.765333333
aps_failure,xgboost_gblinear,power_scaled_inv_ce,0.774278215,0.981581312,0.829899505,0.98925,0.762273902,0.786666667
aps_failure,xgboost_gblinear,focal_loss,0.77303989,0.979782059,0.825344587,0.9896875,0.798295455,0.749333333
aps_failure,xgboost_gblinear,adaptive_ce,0.771186441,0.980923904,0.823810237,0.989875,0.81981982,0.728
aps_failure,xgboost_gblinear,weighted_ce_inv_sqrt,0.759615385,0.983420757,0.824090791,0.9875,0.691466083,0.842666667
aps_failure,xgboost_gblinear,standard_ce,0.753665689,0.97323136,0.81074792,0.9895,0.83713355,0.685333333
aps_failure,xgboost_gblinear,class_balanced_ce,0.75147929,0.977462955,0.826665525,0.9895,0.843853821,0.677333333
aps_failure,xgboost_gblinear,weighted_ce_inv,0.651248844,0.988286379,0.807297781,0.9764375,0.498583569,0.938666667
bank_marketing,xgboost_gblinear,weighted_ce_inv_sqrt,0.573409708,0.906904612,0.545320406,0.89567974,0.549710983,0.599243856
bank_marketing,xgboost_gblinear,power_scaled_inv_ce,0.572351042,0.907353093,0.544955547,0.892583309,0.535714286,0.61436673
bank_marketing,xgboost_gblinear,focal_loss,0.569704285,0.906914792,0.54523888,0.89486877,0.546612623,0.594833018
bank_marketing,xgboost_gblinear,weighted_ce_inv,0.559511699,0.897401599,0.540222472,0.872309053,0.469083156,0.693131695
bank_marketing,xgboost_gblinear,power_scaled_adaptive_ce,0.547375596,0.906285672,0.546511065,0.902093778,0.596139569,0.505986137
bank_marketing,xgboost_gblinear,class_balanced_ce,0.475570033,0.872572425,0.503800015,0.893173105,0.558673469,0.413988658
bank_marketing,xgboost_gblinear,adaptive_ce,0.488680718,0.905417699,0.547618742,0.90342082,0.642051282,0.394454946
bank_marketing,xgboost_gblinear,standard_ce,0.454396056,0.905275071,0.548253541,0.902093778,0.652892562,0.348456207
credit_card_default,xgboost_gblinear,focal_loss,0.508776818,0.691364565,0.480345273,0.804111111,0.571339174,0.458563536
credit_card_default,xgboost_gblinear,power_scaled_inv_ce,0.506784824,0.689448036,0.479266613,0.802111111,0.564814815,0.459568056
credit_card_default,xgboost_gblinear,weighted_ce_inv,0.501250625,0.705342754,0.494614596,0.778444444,0.499252616,0.503264691
credit_card_default,xgboost_gblinear,weighted_ce_inv_sqrt,0.5,0.686329673,0.476896104,0.799333333,0.557063541,0.453540934
credit_card_default,xgboost_gblinear,power_scaled_adaptive_ce,0.491327836,0.69213071,0.476748342,0.801222222,0.566186107,0.433952788
credit_card_default,xgboost_gblinear,class_balanced_ce,0.488068182,0.683600313,0.471913714,0.799777778,0.561805101,0.431441487
credit_card_default,xgboost_gblinear,standard_ce,0.356768886,0.716180975,0.498201413,0.808888889,0.698389458,0.239578101
credit_card_default,xgboost_gblinear,adaptive_ce,0.487624467,0.686887935,0.47282978,0.799888889,0.562335958,0.430436966
credit_card_fraud,xgboost_gblinear,weighted_ce_inv_sqrt,0.802816901,0.967940756,0.70006678,0.999344592,0.838235294,0.77027027
credit_card_fraud,xgboost_gblinear,power_scaled_adaptive_ce,0.798586572,0.969305178,0.701261523,0.999332889,0.837037037,0.763513514
credit_card_fraud,xgboost_gblinear,power_scaled_inv_ce,0.797202797,0.969388672,0.701038236,0.999321185,0.826086957,0.77027027
credit_card_fraud,xgboost_gblinear,weighted_ce_inv,0.791666667,0.973310712,0.698316634,0.999297777,0.814285714,0.77027027
credit_card_fraud,xgboost_gblinear,focal_loss,0.756013746,0.961174176,0.715594311,0.999169037,0.769230769,0.743243243
credit_card_fraud,xgboost_gblinear,standard_ce,0.728682171,0.949504027,0.707103073,0.99918074,0.854545455,0.635135135
credit_card_fraud,xgboost_gblinear,adaptive_ce,0.747330961,0.959707486,0.716601076,0.999169037,0.789473684,0.709459459
credit_card_fraud,xgboost_gblinear,class_balanced_ce,0.716535433,0.957572843,0.710325957,0.999157333,0.858490566,0.614864865
