Dataset,Model,Loss,F1-Score,ROC_AUC,PR_AUC,Accuracy,Precision,Recall
aps_failure,xgboost_gblinear,rho_power_scaled_adaptive_ce,0.781208054,0.979289259,0.828041538,0.9898125,0.786486486,0.776
aps_failure,xgboost_gblinear,power_scaled_adaptive_ce,0.781081081,0.979513856,0.828625133,0.989875,0.791780822,0.770666667
aps_failure,xgboost_gblinear,rho_power_scaled_inv_ce,0.777920411,0.980890624,0.829786925,0.9891875,0.75,0.808
aps_failure,xgboost_gblinear,focal_loss,0.775067751,0.980407296,0.825694887,0.989625,0.787878788,0.762666667
aps_failure,xgboost_gblinear,power_scaled_inv_ce,0.771208226,0.982328832,0.828693821,0.988875,0.744416873,0.8
aps_failure,xgboost_gblinear,adaptive_ce,0.767277856,0.979365547,0.824636851,0.9896875,0.814371257,0.725333333
aps_failure,xgboost_gblinear,weighted_ce_inv_sqrt,0.761445783,0.983845973,0.824120082,0.987625,0.694505495,0.842666667
aps_failure,xgboost_gblinear,standard_ce,0.75942029,0.967541589,0.802399994,0.989625,0.831746032,0.698666667
aps_failure,xgboost_gblinear,class_balanced_ce,0.746268657,0.980326485,0.819832662,0.989375,0.847457627,0.666666667
aps_failure,xgboost_gblinear,weighted_ce_inv,0.647004608,0.988055211,0.808831755,0.9760625,0.494366197,0.936
bank_marketing,xgboost_gblinear,rho_power_scaled_inv_ce,0.574251671,0.90723656,0.544891904,0.891993512,0.532901834,0.622558286
bank_marketing,xgboost_gblinear,power_scaled_inv_ce,0.574179958,0.90684816,0.545262213,0.89567974,0.549539171,0.601134216
bank_marketing,xgboost_gblinear,rho_power_scaled_adaptive_ce,0.573578092,0.907314266,0.545461906,0.895532291,0.548963134,0.600504096
bank_marketing,xgboost_gblinear,weighted_ce_inv_sqrt,0.573520439,0.907448686,0.545836948,0.896933058,0.555884092,0.592312539
bank_marketing,xgboost_gblinear,focal_loss,0.566841618,0.907070099,0.545597623,0.896564435,0.555690073,0.578449905
bank_marketing,xgboost_gblinear,weighted_ce_inv,0.5580222,0.897823775,0.541463656,0.870834562,0.465292385,0.696912413
bank_marketing,xgboost_gblinear,power_scaled_adaptive_ce,0.548540394,0.906270415,0.546458141,0.901946329,0.59455482,0.509136736
bank_marketing,xgboost_gblinear,adaptive_ce,0.488680718,0.905420697,0.547628598,0.90342082,0.642051282,0.394454946
bank_marketing,xgboost_gblinear,class_balanced_ce,0.474710983,0.872106451,0.50309402,0.892804482,0.556308213,0.413988658
bank_marketing,xgboost_gblinear,standard_ce,0.456298728,0.905130864,0.548165633,0.902314951,0.654117647,0.350346566
credit_card_default,xgboost_gblinear,rho_power_scaled_adaptive_ce,0.511005851,0.694230902,0.481662074,0.805,0.573842303,0.460572577
credit_card_default,xgboost_gblinear,power_scaled_inv_ce,0.510781294,0.703887568,0.485090047,0.805888889,0.57721519,0.458061276
credit_card_default,xgboost_gblinear,focal_loss,0.509131779,0.697284664,0.483362546,0.805888889,0.577806122,0.455047715
credit_card_default,xgboost_gblinear,rho_power_scaled_inv_ce,0.505245251,0.698729817,0.483439115,0.806111111,0.580078125,0.447513812
credit_card_default,xgboost_gblinear,weighted_ce_inv,0.501250625,0.686528851,0.448505417,0.778444444,0.499252616,0.503264691
credit_card_default,xgboost_gblinear,weighted_ce_inv_sqrt,0.496249279,0.698996461,0.482008346,0.806,0.583050847,0.431943747
credit_card_default,xgboost_gblinear,adaptive_ce,0.491573034,0.684470437,0.472701509,0.798888889,0.557680051,0.439477649
credit_card_default,xgboost_gblinear,class_balanced_ce,0.486130969,0.685920857,0.471843784,0.800333333,0.564409031,0.426921145
credit_card_default,xgboost_gblinear,power_scaled_adaptive_ce,0.484866123,0.697607238,0.478744833,0.803333333,0.576470588,0.418382722
credit_card_default,xgboost_gblinear,standard_ce,0.356768886,0.716198818,0.498174965,0.808888889,0.698389458,0.239578101
credit_card_fraud,xgboost_gblinear,power_scaled_inv_ce,0.804195804,0.97107289,0.699935972,0.999344592,0.833333333,0.777027027
credit_card_fraud,xgboost_gblinear,power_scaled_adaptive_ce,0.804195804,0.969400515,0.700987285,0.999344592,0.833333333,0.777027027
credit_card_fraud,xgboost_gblinear,rho_power_scaled_adaptive_ce,0.802816901,0.967112549,0.700234608,0.999344592,0.838235294,0.77027027
credit_card_fraud,xgboost_gblinear,class_balanced_ce,0.801444043,0.970261556,0.704750007,0.999356296,0.860465116,0.75
credit_card_fraud,xgboost_gblinear,weighted_ce_inv_sqrt,0.797202797,0.967741249,0.699856048,0.999321185,0.826086957,0.77027027
credit_card_fraud,xgboost_gblinear,weighted_ce_inv,0.791666667,0.973228287,0.698208,0.999297777,0.814285714,0.77027027
credit_card_fraud,xgboost_gblinear,rho_power_scaled_inv_ce,0.790540541,0.968894718,0.700604379,0.99927437,0.790540541,0.790540541
credit_card_fraud,xgboost_gblinear,focal_loss,0.756944444,0.964611729,0.714395476,0.99918074,0.778571429,0.736486486
credit_card_fraud,xgboost_gblinear,adaptive_ce,0.747330961,0.960092081,0.716591485,0.999169037,0.789473684,0.709459459
credit_card_fraud,xgboost_gblinear,standard_ce,0.721568627,0.954632175,0.710652923,0.999169037,0.859813084,0.621621622
german_credit,xgboost_gblinear,weighted_ce_inv_sqrt,0.61928934,0.795978836,0.643161496,0.75,0.570093458,0.677777778
german_credit,xgboost_gblinear,rho_power_scaled_inv_ce,0.618556701,0.79952381,0.640203099,0.753333333,0.576923077,0.666666667
german_credit,xgboost_gblinear,power_scaled_inv_ce,0.617801047,0.798783069,0.641886672,0.756666667,0.584158416,0.655555556
german_credit,xgboost_gblinear,class_balanced_ce,0.617801047,0.798412698,0.641687721,0.756666667,0.584158416,0.655555556
german_credit,xgboost_gblinear,weighted_ce_inv,0.613953488,0.789417989,0.632624954,0.723333333,0.528,0.733333333
german_credit,xgboost_gblinear,power_scaled_adaptive_ce,0.609137056,0.796772487,0.646201146,0.743333333,0.560747664,0.666666667
german_credit,xgboost_gblinear,rho_power_scaled_adaptive_ce,0.608247423,0.795978836,0.643285737,0.746666667,0.567307692,0.655555556
german_credit,xgboost_gblinear,focal_loss,0.602040816,0.794973545,0.63792619,0.74,0.556603774,0.655555556
german_credit,xgboost_gblinear,adaptive_ce,0.594285714,0.793015873,0.64110924,0.763333333,0.611764706,0.577777778
german_credit,xgboost_gblinear,standard_ce,0.585365854,0.796984127,0.639124424,0.773333333,0.648648649,0.533333333
glass,xgboost_gblinear,class_balanced_ce,0.731476215,0.917771534,0.735519604,0.707692308,0.697895623,0.779917184
glass,xgboost_gblinear,focal_loss,0.716931217,0.916480115,0.710361716,0.661538462,0.696693122,0.797699563
glass,xgboost_gblinear,weighted_ce_inv_sqrt,0.7058895,0.917847449,0.734113158,0.692307692,0.671212121,0.773360939
glass,xgboost_gblinear,rho_power_scaled_adaptive_ce,0.700288917,0.917102578,0.737622327,0.661538462,0.670881896,0.783574879
glass,xgboost_gblinear,power_scaled_inv_ce,0.699322473,0.916977151,0.73754883,0.661538462,0.672649573,0.783574879
glass,xgboost_gblinear,rho_power_scaled_inv_ce,0.689734139,0.918004453,0.739114599,0.646153846,0.663888889,0.776328502
glass,xgboost_gblinear,power_scaled_adaptive_ce,0.687667367,0.913103738,0.725174529,0.661538462,0.657539683,0.758178054
glass,xgboost_gblinear,adaptive_ce,0.675953168,0.914517372,0.709038511,0.707692308,0.637807018,0.728433402
glass,xgboost_gblinear,standard_ce,0.658500115,0.910719766,0.727790391,0.692307692,0.655177134,0.675494594
glass,xgboost_gblinear,weighted_ce_inv,0.640416382,0.912902361,0.703284633,0.584615385,0.626634294,0.746652864
page_blocks,xgboost_gblinear,rho_power_scaled_inv_ce,0.833034669,0.98207043,0.882480446,0.951887942,0.771948145,0.912596723
page_blocks,xgboost_gblinear,standard_ce,0.829189133,0.981143006,0.88564409,0.96589525,0.8792267,0.788452302
